frame_id,ped_no,pos_x,pos_y,timestamp,vel_x,vel_y,speed,destination1,destination2,destination3,destination4,neighbor_id,neighbor_distance,bound_x,bound_y,d_w_bound
10,0,1.2303388717999968,2.6224473779600026,0.4,1.5833475369999994,0.0668186313999996,1.58475661277771,3.4322922,15.38831,2.0421927,15.905001,1.0,0.4721541106700897,1.2631578947368425,2.0,0.6233121
20,0,1.8636778865999968,2.6491748305200025,0.8,1.5833475369999994,0.0668186313999996,1.58475661277771,3.8488288,14.754435,2.6721883,15.281938,1.0,0.4660637378692627,1.8947368421052637,2.0,0.6499175
30,0,2.483173425666663,2.6933716848000024,1.2,1.5487388476666668,0.1104921356999999,1.5526751279830933,4.2970133,14.133842,3.292093,14.669127,1.0,0.4561459720134735,2.5263157894736845,2.0,0.6947127
40,0,3.088825488999996,2.7550379408000025,1.6,1.5141301583333318,0.1541656400000001,1.521958351135254,4.7630157,13.526632,3.9007165,14.066245,1.0,0.44942614436149597,3.1578947368421053,2.0,0.75819063
50,0,3.694477552333329,2.8167041968000026,2.0,1.5141301583333338,0.1541656400000002,1.521958351135254,5.258285,12.91957,4.509383,13.463894,1.0,0.4471219480037689,3.7894736842105265,2.0,0.82221055
60,0,4.273614893999995,2.7997957051870994,2.4,1.4478433541666649,-0.042271229032258,1.448460340499878,5.784231,12.34106,5.083086,12.907964,1.0,0.488074392080307,4.421052631578947,2.0,0.8132717
70,0,4.826237513999995,2.704312465961293,2.8,1.3815565500000009,-0.2387080980645162,1.4020274877548218,6.326568,11.791737,5.625043,12.401306,1.0,0.5190245509147644,4.7368421052631575,2.0,0.7099632
80,0,5.378860133999996,2.6088292267354865,3.2,1.381556549999999,-0.2387080980645159,1.4020264148712158,6.871871,11.2435465,6.1703696,11.8995075,1.0,0.5549674034118652,5.368421052631579,2.0,0.6089187
90,0,5.9680761710370325,2.5110595314666693,3.6,1.4730400925925926,-0.244424238172043,1.4931817054748535,7.454325,10.660268,6.754739,11.369266,1.0,0.5755014419555664,6.0,2.0,0.51205564
100,0,6.612182333629624,2.4098601521333363,4.0,1.6102654064814796,-0.2529984483333325,1.630018711090088,8.091504,10.024126,7.3960037,10.79567,1.0,0.5678936243057251,6.0,2.0,0.7367173
110,0,7.256288496222216,2.3086607728000037,4.4,1.610265406481478,-0.2529984483333323,1.6300199031829834,8.730873,9.3901615,8.038998,10.23147,1.0,0.560297429561615,6.0,2.0,1.2936507
120,0,7.909815913133327,2.2673957668933364,4.8,1.633818542277781,-0.1031625147666671,1.6370718479156494,9.361518,8.743338,8.692475,9.645425,1.0,0.5511978268623352,6.0,2.0,1.9284441
130,0,8.56738101046666,2.25181692102667,5.2,1.6439127433333296,-0.0389471146666664,1.644374132156372,9.99134,8.09095,9.35007,9.054066,1.0,0.5419766902923584,6.0,2.0,2.5797007
140,0,9.224946107799994,2.236238075160003,5.6,1.6439127433333378,-0.0389471146666676,1.644374132156372,10.624547,7.439507,10.007687,8.472502,1.0,0.5334034562110901,6.0,2.0,3.233587
150,0,9.894624246399992,2.236335441080003,6.0,1.6741953464999944,0.0002434148000007,1.674196720123291,11.268004,6.7751837,10.677359,7.8845916,1.0,0.5236808657646179,6.0,2.0,3.901789
160,0,10.569493688399993,2.243151183480003,6.4,1.6871736049999992,0.0170393559999992,1.6872575283050537,11.9176655,6.105912,11.3522,7.3027816,1.0,0.5363203287124634,6.0,2.0,4.575958
170,0,11.244363130399991,2.249966925880003,6.8,1.6871736049999986,0.0170393560000004,1.6872599124908447,12.569989,5.438032,12.027048,6.7383556,1.0,0.5566473007202148,6.0,2.0,5.2503166
180,0,11.875827507861102,2.2069283389611143,7.2,1.5786609436527752,-0.1075964672972217,1.582324743270874,13.193788,4.8241262,12.658681,6.2611694,1.0,0.6079524755477905,6.0,2.0,5.8794703
190,0,12.488689714805547,2.1425236109055583,7.6,1.5321555173611154,-0.1610118201388901,1.5405911207199097,13.805107,4.238901,13.272037,5.84199,1.0,0.6357772946357727,6.0,2.0,6.490255
200,0,13.10155192174999,2.078118882850003,8.0,1.5321555173611077,-0.1610118201388886,1.5405935049057007,14.416847,3.663859,13.885648,5.460306,1.0,0.6657369136810303,6.0,2.0,7.1019816
210,0,13.70967603432142,2.0167380617571458,8.4,1.5203102814285727,-0.1534520527321424,1.5280340909957886,15.023674,3.107996,14.494688,5.124863,1.0,0.7015717625617981,6.0,2.0,7.709694
220,0,14.275157297535706,1.9825724033285743,8.8,1.4137031580357138,-0.0854141460714285,1.41628098487854,15.583412,2.6031766,15.060714,4.841631,1.0,0.7196511030197144,6.0,2.0,8.275176
230,0,14.84063856074999,1.9484067449000029,9.2,1.4137031580357158,-0.0854141460714289,1.41628098487854,16.143623,2.129622,15.626773,4.6109037,1.0,0.7382546663284302,6.0,2.0,8.840789
240,0,15.406119823964277,1.9142410864714317,9.6,1.4137031580357138,-0.0854141460714285,1.416283369064331,16.70426,1.7134532,16.192867,4.4408727,1.0,0.7434786558151245,6.0,2.0,9.406511
250,0,15.971601087178565,1.88007542804286,10.0,1.4137031580357138,-0.0854141460714279,1.4162808656692505,17.26528,1.4065665,16.758986,4.33868,1.0,0.7281249761581421,6.0,2.0,9.972322
260,0,16.537082350392847,1.8459097696142888,10.4,1.4137031580357091,-0.0854141460714285,1.41628098487854,17.826647,1.2894998,17.325132,4.3091536,1.0,0.7128922343254089,6.0,2.0,10.538209
10,1,1.3657120912307663,3.074778739938464,0.4,1.597324123076922,0.0465773688461546,1.5980031490325928,3.194414,15.244567,2.2912447,15.678057,0.0,0.4721541106700897,1.2631578947368425,2.0,1.0796605
20,1,2.004641740461535,3.093409687476926,0.8,1.597324123076922,0.0465773688461546,1.5980031490325928,3.6743715,14.605579,2.9040258,15.048267,0.0,0.4660637378692627,1.8947368421052637,2.0,1.0989195
30,1,2.612397805999996,3.1308304412645187,1.2,1.519390163846153,0.093551884468982,1.5222676992416382,4.160611,13.997768,3.5004463,14.445843,0.0,0.4561459720134735,2.5263157894736845,2.0,1.1341022
40,1,3.173393495999996,3.196435904425809,1.6,1.4024892249999985,0.1640136579032258,1.4120465517044067,4.6212373,13.436921,4.0611844,13.883628,0.0,0.44942614436149597,3.1578947368421053,2.0,1.1965363
50,1,3.734389185999995,3.2620413675870994,2.0,1.402489224999999,0.1640136579032259,1.4120471477508545,5.102845,12.876421,4.622916,13.321633,0.0,0.4471219480037689,3.7894736842105265,2.0,1.263243
60,1,4.309676840310339,3.286535886958624,2.4,1.4382191357758602,0.0612362984288106,1.4395214319229126,5.627764,12.301444,5.191175,12.755117,0.0,0.488074392080307,4.421052631578947,2.0,1.2913479
70,1,4.918312411344822,3.2151048708206926,2.8,1.521588927586209,-0.1785775403448275,1.532033085823059,6.224365,11.692141,5.777417,12.179805,0.0,0.5190245509147644,5.052631578947368,2.0,1.2225062
80,1,5.526947982379305,3.1436738546827616,3.2,1.521588927586205,-0.1785775403448273,1.5320318937301636,6.8238397,11.083223,6.368664,11.608331,0.0,0.5549674034118652,5.684210526315789,2.0,1.1544355
90,1,6.149771790037032,3.0571259628962992,3.6,1.5570595191443175,-0.216369729466156,1.5720208883285522,7.44352,10.460672,6.9760323,11.031897,0.0,0.5755014419555664,6.0,2.0,1.067683
100,1,6.793877952629623,2.94790275763704,4.0,1.6102654064814796,-0.2730580131481486,1.633253574371338,8.091487,9.81804,7.606059,10.448152,0.0,0.5678936243057251,6.0,2.0,1.2364311
110,1,7.437984115222216,2.8386795523777804,4.4,1.61026540648148,-0.2730580131481483,1.6332523822784424,8.740248,9.176913,8.239713,9.873125,0.0,0.560297429561615,6.0,2.0,1.6646866
120,1,8.077196119727267,2.7925650903696995,4.8,1.59803001126263,-0.1152861550202023,1.60218346118927,9.368063,8.539772,8.87476,9.289991,0.0,0.5511978268623352,6.0,2.0,2.223264
130,1,8.714310627909084,2.773497232612124,5.2,1.5927862704545412,-0.0476696443939394,1.5934995412826538,9.988722,7.9040513,9.509863,8.706374,0.0,0.5419766902923584,6.0,2.0,2.8223715
140,1,9.351425136090905,2.754429374854548,5.6,1.5927862704545492,-0.0476696443939395,1.5934995412826538,10.611366,7.2686243,10.145254,8.130838,0.0,0.5334034562110901,6.0,2.0,3.4352896
150,1,9.978187484999994,2.753306502806454,6.0,1.5669058722727267,-0.0028071801202345,1.5669084787368774,11.221546,6.6428585,10.7713175,7.5663924,0.0,0.5236808657646179,6.0,2.0,4.048882
160,1,10.589421594999992,2.7791011093225837,6.4,1.5280852749999938,0.0644865162903229,1.5294443368911743,11.81259,6.0311575,11.383094,7.0131493,0.0,0.5363203287124634,6.0,2.0,4.6550817
170,1,11.200655704999992,2.804895715838712,6.8,1.5280852750000016,0.0644865162903219,1.5294467210769653,12.405644,5.419472,11.994871,6.4704533,0.0,0.5566473007202148,6.0,2.0,5.2625732
180,1,11.823193459499992,2.8125979201857167,7.2,1.556344386249998,0.0192555108675118,1.5564631223678589,13.014936,4.797706,12.617162,5.94197,0.0,0.6079524755477905,6.0,2.0,5.879617
190,1,12.472106384499993,2.778084519471431,7.6,1.6222823125000052,-0.0862835017857145,1.624574065208435,13.659006,4.1532817,13.264176,5.4387164,0.0,0.6357772946357727,6.0,2.0,6.518709
200,1,13.121019309499992,2.743571118757145,8.0,1.6222823124999972,-0.0862835017857143,1.6245763301849365,14.303596,3.5108497,13.911453,4.9695883,0.0,0.6657369136810303,6.0,2.0,7.1597357
210,1,13.738533221999992,2.7177162148516154,8.4,1.543784781249998,-0.0646372597638244,1.54513680934906,14.916223,2.9015548,14.527831,4.5592184,0.0,0.7015717625617981,6.0,2.0,7.7717443
220,1,14.324648121999992,2.700519807754841,8.8,1.465287249999999,-0.0429910177419356,1.465917706489563,15.49688,2.3261397,15.113198,4.210813,0.0,0.7196511030197144,6.0,2.0,8.354071
230,1,14.91076302199999,2.683323400658067,9.2,1.465287250000001,-0.0429910177419358,1.465917706489563,16.077951,1.7579776,15.69864,3.919576,0.0,0.7382546663284302,6.0,2.0,8.936925
240,1,15.491565353448266,2.6527933486206923,9.6,1.452005828620687,-0.0763251300934363,1.4540119171142578,16.656235,1.2174522,16.278524,3.7133775,0.0,0.7434786558151245,6.0,2.0,9.513988
250,1,16.064398832068953,2.602262829172416,10.0,1.4320836965517167,-0.1263262986206902,1.4376460313796997,17.229948,0.7615124,16.850164,3.61165,0.0,0.7281249761581421,6.0,2.0,10.082403
260,1,16.637232310689644,2.5517323097241404,10.4,1.4320836965517256,-0.1263262986206891,1.4376412630081177,17.803745,0.5822339,17.42203,3.6000335,0.0,0.7128922343254089,6.0,2.0,10.651531
10,2,2.9947331148749963,3.2195582977250026,0.4,1.2572687921874992,0.2223104053125002,1.2767720222473145,4.4515405,13.615706,3.892885,14.053409,3.0,0.6570476293563843,2.8421052631578947,2.0,1.2290719
